"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","62034.74","10.934","4.024","10.031","17.471","20.559","33.791"
"PING_MBULK","70921.98","9.551","3.712","9.311","12.471","13.439","34.079"
"SET","64850.84","10.478","4.488","10.271","13.935","15.695","21.663"
"GET","50556.12","14.008","4.088","11.663","20.239","39.647","146.687"
"INCR","71022.73","9.524","3.688","9.399","12.583","13.111","14.543"
"LPUSH","67430.88","10.039","3.848","9.887","13.247","13.919","22.479"
"RPUSH","68073.52","9.943","4.800","9.815","13.079","13.639","15.535"
"LPOP","67613.25","9.932","3.760","9.783","13.143","13.887","25.407"
"RPOP","68306.01","9.871","5.712","9.727","13.039","13.623","17.327"
"SADD","70771.41","9.598","3.376","9.487","12.599","13.151","14.159"
"HSET","68073.52","9.944","3.896","9.679","13.047","17.263","34.815"
"SPOP","57471.27","11.825","3.328","10.983","18.527","20.479","22.175"
"ZADD","68870.52","9.816","3.560","9.679","12.951","13.575","19.343"
"ZPOPMIN","70671.38","9.579","3.648","9.423","12.695","13.367","21.967"
"LPUSH (needed to benchmark LRANGE)","66844.91","10.105","3.936","9.935","13.383","14.151","23.855"
"LRANGE_100 (first 100 elements)","25700.33","17.057","2.872","16.279","38.047","49.951","55.423"
"LRANGE_300 (first 300 elements)","13142.33","8.408","2.360","7.247","16.127","52.095","82.623"
"LRANGE_500 (first 500 elements)","4964.50","55.988","2.656","55.519","98.687","107.007","159.871"
"LRANGE_600 (first 600 elements)","4567.25","56.933","4.032","53.087","101.759","265.727","398.847"
"MSET (10 keys)","55741.36","12.163","4.152","11.527","18.943","25.023","37.983"
"XADD","61728.39","10.965","4.144","10.455","15.879","22.335","33.727"
