"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","69396.25","9.765","3.720","9.095","16.111","21.391","30.031"
"PING_MBULK","74128.98","9.535","2.208","9.183","13.527","18.175","31.231"
"SET","75131.48","9.098","2.360","9.015","11.759","12.543","23.391"
"GET","76628.36","9.326","2.304","9.319","11.383","11.863","15.359"
"INCR","75815.01","9.021","2.632","8.879","11.623","12.495","30.431"
"LPUSH","71736.01","9.443","3.688","9.327","12.383","13.143","14.919"
"RPUSH","57504.31","12.282","2.456","10.111","21.999","39.167","124.735"
"LPOP","71377.59","9.423","3.696","9.167","12.327","13.223","36.255"
"RPOP","73800.73","9.079","3.440","8.983","12.199","13.071","16.847"
"SADD","75301.21","8.979","2.376","8.799","11.671","14.615","36.831"
"HSET","74906.37","9.223","2.368","9.111","11.599","12.567","32.319"
"SPOP","78802.20","9.106","3.856","9.071","11.079","11.535","16.895"
"ZADD","72568.94","9.272","2.416","9.063","12.183","14.471","30.783"
"ZPOPMIN","77700.08","8.728","3.376","8.583","11.327","12.879","31.359"
"LPUSH (needed to benchmark LRANGE)","70571.62","9.558","2.528","9.351","12.447","14.639","33.471"
"LRANGE_100 (first 100 elements)","31575.62","14.943","2.888","15.183","19.423","34.079","62.047"
"LRANGE_300 (first 300 elements)","13912.08","8.315","2.232","7.263","14.255","34.463","115.647"
"LRANGE_500 (first 500 elements)","6068.70","38.223","3.416","38.335","63.423","87.359","154.239"
"LRANGE_600 (first 600 elements)","5327.37","41.404","2.624","43.999","71.295","82.815","188.927"
"MSET (10 keys)","61387.36","10.973","2.784","10.703","14.327","17.199","38.879"
"XADD","50684.23","13.968","3.856","10.687","32.527","46.047","185.727"
